Name,Accepted name,Climate match,Naturalized in FL,FL noxious weed list,Federal noxious weed list,Naturalized somewhere,Weedy history,Global occurrences
Spartina juncea var. patens,Spartina patens,yes,yes,no,no,yes,yes,0
Spartina patens,Spartina patens,yes,yes,no,no,yes,yes,568
Spartina patens var. juncea,Spartina patens,yes,yes,no,no,yes,yes,1
Spartina patens var. monogyna,Spartina patens,yes,yes,no,no,yes,yes,0
Spartina polystachya var. juncea,Spartina patens,yes,yes,no,no,yes,yes,0
Spartina pumila,Spartina patens,yes,yes,no,no,yes,yes,0
Sporobolus pumilus,Spartina patens,yes,yes,no,no,yes,yes,729
Trachynotia juncea,Spartina patens,yes,yes,no,no,yes,yes,0
Spartina versicolor,Spartina versicolor,yes,no,no,no,yes,yes,2415
Spartium junceum,Spartium junceum,yes,no,no,no,yes,yes,19965
Spergula morisonii,Spergula morisonii,yes,no,no,no,yes,yes,24125
Alsine heterosperma,Spergularia marina,yes,yes,no,no,yes,yes,0
Alsine marina,Spergularia marina,yes,yes,no,no,yes,yes,0
Alsine marina var. minor,Spergularia marina,yes,yes,no,no,yes,yes,0
Alsine maritima,Spergularia marina,yes,yes,no,no,yes,yes,0
Alsine sparsiflora,Spergularia marina,yes,yes,no,no,yes,yes,0
Alsinella media,Spergularia marina,yes,yes,no,no,yes,yes,0
Arenaria halophila,Spergularia marina,yes,yes,no,no,yes,yes,0
Arenaria marina,Spergularia marina,yes,yes,no,no,yes,yes,0
Arenaria rubra var. marina,Spergularia marina,yes,yes,no,no,yes,yes,13
Arenaria salina,Spergularia marina,yes,yes,no,no,yes,yes,1
Buda marina,Spergularia marina,yes,yes,no,no,yes,yes,0
Buda marina var. leiosperma,Spergularia marina,yes,yes,no,no,yes,yes,0
Buda marina var. minor,Spergularia marina,yes,yes,no,no,yes,yes,0
Corion marinum,Spergularia marina,yes,yes,no,no,yes,yes,0
Corion marinum var. leiospermum,Spergularia marina,yes,yes,no,no,yes,yes,0
Lepigonum caninum var. leiospermum,Spergularia marina,yes,yes,no,no,yes,yes,0
Lepigonum leiospermum,Spergularia marina,yes,yes,no,no,yes,yes,0
Lepigonum marinum,Spergularia marina,yes,yes,no,no,yes,yes,0
Lepigonum neglectum,Spergularia marina,yes,yes,no,no,yes,yes,0
Lepigonum salinum,Spergularia marina,yes,yes,no,no,yes,yes,0
Spergula leiosperma,Spergularia marina,yes,yes,no,no,yes,yes,0
Spergula salina,Spergularia marina,yes,yes,no,no,yes,yes,10
Spergularia alata,Spergularia marina,yes,no,no,no,yes,yes,0
Spergularia canina var. leiosperma,Spergularia marina,yes,yes,no,no,yes,yes,0
Spergularia canina var. leiosperma,Spergularia marina,yes,yes,no,no,yes,yes,0
Spergularia canina var. salina,Spergularia marina,yes,yes,no,no,yes,yes,0
Spergularia dillenii var. leiosperma,Spergularia marina,yes,yes,no,no,yes,yes,0
Spergularia leiosperma,Spergularia marina,yes,yes,no,no,yes,yes,2
Spergularia marina,Spergularia marina,yes,yes,no,no,yes,yes,35107
Spergularia marina var. leiosperma,Spergularia marina,yes,no,no,no,yes,yes,4
Spergularia marina var. leiosperma,Spergularia marina,yes,no,no,no,yes,yes,4
Spergularia marina var. marina,Spergularia marina,yes,no,no,no,yes,yes,3
Spergularia marina var. simonii,Spergularia marina,yes,no,no,no,yes,yes,0
Spergularia marina var. tenuis,Spergularia marina,yes,no,no,no,yes,yes,0
Spergularia neglecta,Spergularia marina,yes,yes,no,no,yes,yes,2
Spergularia neglecta var. genuina,Spergularia marina,yes,yes,no,no,yes,yes,0
Spergularia neglecta var. salina,Spergularia marina,yes,yes,no,no,yes,yes,0
Spergularia rubra var. marina,Spergularia marina,yes,yes,no,no,yes,yes,0
Spergularia salina,Spergularia marina,yes,yes,no,no,yes,yes,5143
Spergularia salina var. genuina,Spergularia marina,yes,yes,no,no,yes,yes,0
Spergularia salina var. leiosperma,Spergularia marina,yes,yes,no,no,yes,yes,0
Spergularia salina var. minor,Spergularia marina,yes,yes,no,no,yes,yes,0
Spergularia salina var. salina,Spergularia marina,yes,no,no,no,yes,yes,3
Spergularia salina var. sordida,Spergularia marina,yes,yes,no,no,yes,yes,1
Spergularia salina var. tenuis,Spergularia marina,yes,no,no,no,yes,yes,0
Spergularia sparsiflora,Spergularia marina,yes,yes,no,no,yes,yes,0
Spergularia tenuis var. involucrata,Spergularia marina,yes,no,no,no,yes,yes,0
Stipularia marina,Spergularia marina,yes,yes,no,no,yes,yes,0
Tissa leiosperma,Spergularia marina,yes,yes,no,no,yes,yes,0
Tissa marina,Spergularia marina,yes,yes,no,no,yes,yes,0
Tissa salina,Spergularia marina,yes,yes,no,no,yes,yes,0
Tissa salina var. sanfordii,Spergularia marina,yes,yes,no,no,yes,yes,0
Tissa salina var. sordida,Spergularia marina,yes,yes,no,no,yes,yes,0
Tissa sparsiflora,Spergularia marina,yes,yes,no,no,yes,yes,0
Tissa tenuis,Spergularia marina,yes,no,no,no,yes,yes,0
Spergularia rubra,Spergularia rubra,yes,no,no,no,yes,yes,80309
Spermacoce alata,Spermacoce alata,no,no,no,yes,yes,yes,2176
Borreria bartlingiana,Spermacoce latifolia,yes,yes,no,no,no,yes,0
Borreria eradii,Spermacoce latifolia,yes,yes,no,no,no,yes,0
Borreria fockeana,Spermacoce latifolia,yes,yes,no,no,no,yes,0
Borreria latifolia,Spermacoce latifolia,yes,yes,no,no,no,yes,751
Borreria latifolia forma fockeana,Spermacoce latifolia,yes,yes,no,no,no,yes,4
Borreria latifolia forma fockeana,Spermacoce latifolia,yes,yes,no,no,no,yes,4
Borreria latifolia forma scabrida,Spermacoce latifolia,yes,yes,no,no,no,yes,0
Borreria latifolia forma. minor,Spermacoce latifolia,yes,yes,no,no,no,yes,0
Borreria latifolia var. fockeana,Spermacoce latifolia,yes,yes,no,no,no,yes,1
Borreria latifolia var. fockeana,Spermacoce latifolia,yes,yes,no,no,no,yes,1
Borreria latifolia var. minor,Spermacoce latifolia,yes,yes,no,no,no,yes,2
Borreria latifolia var. scabrida,Spermacoce latifolia,yes,yes,no,no,no,yes,0
Borreria latifolia var. sideritis,Spermacoce latifolia,yes,yes,no,no,no,yes,0
Borreria penicillata,Spermacoce latifolia,yes,yes,no,no,no,yes,0
Borreria perrottetii,Spermacoce latifolia,yes,yes,no,no,no,yes,0
Borreria platyphylla,Spermacoce latifolia,yes,yes,no,no,no,yes,1
Borreria scabrida,Spermacoce latifolia,yes,yes,no,no,no,yes,1
Borreria sideritis,Spermacoce latifolia,yes,yes,no,no,no,yes,0
Borreria splitgerberi,Spermacoce latifolia,yes,yes,no,no,no,yes,0
Borreria tetraptera,Spermacoce latifolia,yes,yes,no,no,no,yes,0
Neanotis monosperma var. tirunelvelica,Spermacoce latifolia,yes,yes,no,no,no,yes,0
Spermacoce aspera var. latifolia,Spermacoce latifolia,yes,yes,no,no,no,yes,0
Spermacoce bartlingiana,Spermacoce latifolia,yes,yes,no,no,no,yes,70
Spermacoce caerulescens,Spermacoce latifolia,yes,yes,no,no,no,yes,0
Spermacoce hexangularis,Spermacoce latifolia,yes,yes,no,no,no,yes,0
Spermacoce latifolia,Spermacoce latifolia,yes,yes,no,no,no,yes,707
Tardavel latifolia,Spermacoce latifolia,yes,yes,no,no,no,yes,0
Sphaeralcea bonariensis,Sphaeralcea bonariensis,no,no,no,no,yes,yes,276
Sphaeralcea cisplatina,Sphaeralcea bonariensis,no,no,no,no,yes,yes,4
Sphaeralcea miniata,Sphaeralcea bonariensis,no,no,no,no,yes,yes,79
Sphaerophysa salsula,Sphaerophysa salsula,yes,no,no,no,yes,yes,282
Gaertnera pangati,Sphenoclea zeylanica,yes,yes,no,no,yes,yes,0
Pongatium indicum,Sphenoclea zeylanica,yes,yes,no,no,yes,yes,0
Pongatium zeylanicum,Sphenoclea zeylanica,yes,yes,no,no,yes,yes,0
Rapinia herbacea,Sphenoclea zeylanica,yes,yes,no,no,yes,yes,0
Sphenoclea pongatium,Sphenoclea zeylanica,yes,yes,no,no,yes,yes,4
Sphenoclea zeylanica,Sphenoclea zeylanica,yes,yes,no,no,yes,yes,1422
Spinacia turkestanica,Spinacia turkestanica,yes,no,no,no,yes,yes,112
Spiraea chamaedryfolia,Spiraea chamaedryfolia,yes,no,no,no,yes,yes,3017
Spondias dulcis var. macrocarpa,Spondias purpurea,yes,yes,no,no,yes,yes,0
Spondias macrocarpa,Spondias purpurea,yes,yes,no,no,yes,yes,60
Spondias myrobalanus,Spondias purpurea,yes,yes,no,no,yes,yes,0
Spondias purpurea,Spondias purpurea,yes,yes,no,no,yes,yes,1766
Spondias purpurea var. munita,Spondias purpurea,yes,yes,no,no,yes,yes,0
Spondias purpurea var. venulosa,Spondias purpurea,yes,yes,no,no,yes,yes,0
Spondias venulosa,Spondias purpurea,yes,yes,no,no,yes,yes,357
Warmingia pauciflora,Spondias purpurea,yes,yes,no,no,yes,yes,0
Sporobolus africanus,Sporobolus africanus,yes,no,no,no,yes,yes,9047
Sporobolus indicus var. capensis,Sporobolus indicus var. capensis,no,no,no,no,no,no,38
Agrostis plumosa,Sporobolus pyramidatus,yes,yes,no,no,yes,yes,0
Agrostis pyramidata,Sporobolus pyramidatus,yes,yes,no,no,yes,yes,0
Sporobolus affinis,Sporobolus pyramidatus,yes,yes,no,no,yes,yes,0
Sporobolus argutus,Sporobolus pyramidatus,yes,yes,no,no,yes,yes,15
Sporobolus argutus forma purpurascens,Sporobolus pyramidatus,yes,yes,no,no,yes,yes,0
Sporobolus argutus var. tuberculatus,Sporobolus pyramidatus,yes,yes,no,no,yes,yes,0
Sporobolus patens,Sporobolus pyramidatus,yes,yes,no,no,yes,yes,14
Sporobolus pulvinatus,Sporobolus pyramidatus,yes,yes,no,no,yes,yes,54
Sporobolus pyramidatus,Sporobolus pyramidatus,yes,yes,no,no,yes,yes,1369
Sporobolus tuberculatus,Sporobolus pyramidatus,yes,yes,no,no,yes,yes,0
Vilfa agrostoidea,Sporobolus pyramidatus,yes,yes,no,no,yes,yes,0
Vilfa arguta,Sporobolus pyramidatus,yes,yes,no,no,yes,yes,0
Vilfa arkansana,Sporobolus pyramidatus,yes,yes,no,no,yes,yes,0
Vilfa humifusa var. major,Sporobolus pyramidatus,yes,yes,no,no,yes,yes,0
Vilfa richardii,Sporobolus pyramidatus,yes,yes,no,no,yes,yes,0
Vilfa sabeana,Sporobolus pyramidatus,yes,yes,no,no,yes,yes,0
Vilfa subpyramidata,Sporobolus pyramidatus,yes,yes,no,no,yes,yes,0
Cardiaca arvensis,Stachys arvensis,yes,yes,no,no,yes,yes,0
Glechoma arvensis,Stachys arvensis,yes,yes,no,no,yes,yes,0
Glechoma belgica,Stachys arvensis,yes,yes,no,no,yes,yes,0
Glechoma marrubiastrum,Stachys arvensis,yes,yes,no,no,yes,yes,0
Stachys arvensis,Stachys arvensis,yes,yes,no,no,yes,yes,26845
Stachys arvensis forma albiflora,Stachys arvensis,yes,yes,no,no,yes,yes,0
Stachys arvensis var. albiflora,Stachys arvensis,yes,yes,no,no,yes,yes,0
Stachys arvensis var. bermudiana,Stachys arvensis,yes,yes,no,no,yes,yes,1
Stachys arvensis var. lamiiformis,Stachys arvensis,yes,yes,no,no,yes,yes,0
Stachys arvensis var. typica,Stachys arvensis,yes,yes,no,no,yes,yes,0
Trixago arvensis,Stachys arvensis,yes,yes,no,no,yes,yes,0
Trixago colorata,Stachys arvensis,yes,yes,no,no,yes,yes,0
Trixago cordifolia,Stachys arvensis,yes,yes,no,no,yes,yes,0
Trixella arvensis,Stachys arvensis,yes,yes,no,no,yes,yes,0
Stachys byzantina,Stachys byzantina,yes,no,no,no,yes,yes,3689
Stachys cretica,Stachys cretica,yes,no,no,no,no,yes,525
Stachys macrantha,Stachys macrantha,yes,no,no,no,yes,yes,108
Stachys macrantha,Stachys macrantha,yes,no,no,no,yes,yes,108
Stachys officinalis,Stachys officinalis,yes,no,no,no,yes,yes,14841
Abena cayennensis,Stachytarpheta cayennensis,yes,yes,yes,no,yes,yes,0
Lippia cylindrica,Stachytarpheta cayennensis,yes,yes,yes,no,yes,yes,0
Stachytarpheta cayennensis,Stachytarpheta cayennensis,yes,yes,yes,no,yes,yes,2965
Stachytarpheta cayennensis forma albiflora,Stachytarpheta cayennensis,yes,yes,yes,no,yes,yes,12
Stachytarpheta dichotoma,Stachytarpheta cayennensis,yes,yes,yes,no,yes,yes,0
Stachytarpheta guatemalensis,Stachytarpheta cayennensis,yes,yes,yes,no,yes,yes,28
Stachytarpheta guatemalensis forma albiflora,Stachytarpheta cayennensis,yes,yes,yes,no,yes,yes,1
Stachytarpheta hirta,Stachytarpheta cayennensis,yes,yes,yes,no,yes,yes,1
Stachytarpheta tabascana,Stachytarpheta cayennensis,yes,yes,yes,no,yes,yes,3
Stachytarpheta urticifolia,Stachytarpheta cayennensis,yes,yes,yes,no,yes,yes,960
Stachytarpheta urticifolia forma albiflora,Stachytarpheta cayennensis,yes,yes,yes,no,yes,yes,0
Stachytarpheta veronicifolia,Stachytarpheta cayennensis,yes,yes,yes,no,yes,yes,0
Valerianoides cayennensis,Stachytarpheta cayennensis,yes,yes,yes,no,yes,yes,0
Verbena cayennensis,Stachytarpheta cayennensis,yes,yes,yes,no,yes,yes,0
Verbena dichotoma,Stachytarpheta cayennensis,yes,yes,yes,no,yes,yes,1
Zappania cajanensis,Stachytarpheta cayennensis,yes,yes,yes,no,yes,yes,0
Zappania dichotoma,Stachytarpheta cayennensis,yes,yes,yes,no,yes,yes,0
Zappania urticifolia,Stachytarpheta cayennensis,yes,yes,yes,no,yes,yes,0
Stachytarpheta indica,Stachytarpheta jamaicensis,yes,no,no,no,yes,yes,990
Stachytarpheta jamaicensis,Stachytarpheta jamaicensis,yes,no,no,no,yes,yes,2898
Valerianoides jamaicensis,Stachytarpheta jamaicensis,yes,no,no,no,yes,yes,0
Stellaria aquatica,Stellaria aquatica,no,no,no,no,yes,yes,0
Stellaria hebecalyx,Stellaria hebecalyx,no,no,no,no,no,yes,151
Stellaria cupaniana,Stellaria media subsp. cupaniana,yes,no,no,no,no,no,214
Stellaria media subsp. cupaniana,Stellaria media subsp. cupaniana,yes,no,no,no,no,no,9
Stenochlaena palustris,Stenochlaena palustris,yes,no,no,no,no,yes,1277
Sterculia foetida,Sterculia foetida,yes,no,no,no,yes,yes,151
Sternbergia lutea,Sternbergia lutea,yes,no,no,no,yes,yes,792
Stipa capensis,Stipa capensis,yes,no,no,no,yes,yes,0
Stipa papposa,Stipa papposa,no,no,no,no,yes,yes,253
Strelitzia reginae,Strelitzia reginae,no,no,no,no,yes,yes,340
Striga asiatica,Striga asiatica,yes,no,no,no,yes,yes,905
Striga aspera,Striga aspera,yes,no,no,no,no,yes,283
Striga densiflora,Striga densiflora,yes,no,no,no,no,yes,3
Striga hermonthica,Striga hermonthica,yes,no,no,no,yes,yes,1051
Blechum cordatum,Strobilanthes alternata,no,yes,no,no,yes,yes,1
Hemigraphis alternata,Strobilanthes alternata,no,yes,no,no,yes,yes,89
Hemigraphis colorata,Strobilanthes alternata,no,yes,no,no,yes,yes,4
Hemigraphis colorata,Strobilanthes alternata,no,yes,no,no,yes,yes,4
Ruellia alternata,Strobilanthes alternata,no,yes,no,no,yes,yes,0
Ruellia colorata,Strobilanthes alternata,no,yes,no,no,yes,yes,0
Strobilanthes alternata,Strobilanthes alternata,no,yes,no,no,yes,yes,96
Strobilanthes hamiltoniana,Strobilanthes hamiltoniana,yes,no,no,no,yes,no,124
Strobilanthes maculata,Strobilanthes maculata,no,no,no,no,no,no,0
Suaeda acuminata,Suaeda acuminata,no,no,no,no,yes,no,117
Aster coridifolius,Symphyotrichum dumosum,yes,yes,no,no,yes,yes,3
Aster dumosus,Symphyotrichum dumosum,yes,yes,no,no,yes,yes,13
Aster dumosus forma monocephalus,Symphyotrichum dumosum,yes,yes,no,no,yes,yes,0
Aster dumosus var. albus,Symphyotrichum dumosum,yes,yes,no,no,yes,yes,0
Aster dumosus var. coridifolius,Symphyotrichum dumosum,yes,yes,no,no,yes,yes,0
Aster dumosus var. dodgei,Symphyotrichum dumosum,yes,yes,no,no,yes,yes,0
Aster dumosus var. gracilentus,Symphyotrichum dumosum,yes,yes,no,no,yes,yes,0
Aster dumosus var. gracilipes,Symphyotrichum dumosum,yes,yes,no,no,yes,yes,0
Aster dumosus var. pergracilis,Symphyotrichum dumosum,yes,yes,no,no,yes,yes,1
Aster dumosus var. strictior,Symphyotrichum dumosum,yes,yes,no,no,yes,yes,0
Aster dumosus var. subracemosus,Symphyotrichum dumosum,yes,yes,no,no,yes,yes,0
Aster dumosus var. subulifolius,Symphyotrichum dumosum,yes,yes,no,no,yes,yes,1
Aster dumosus var. verus,Symphyotrichum dumosum,yes,yes,no,no,yes,yes,0
Aster dumosus var. violaceus,Symphyotrichum dumosum,yes,yes,no,no,yes,yes,0
Aster foliolosus var. coridifolius,Symphyotrichum dumosum,yes,yes,no,no,yes,yes,0
Aster gracilipes,Symphyotrichum dumosum,yes,yes,no,no,yes,yes,0
Aster mutabilis,Symphyotrichum dumosum,yes,yes,no,no,yes,yes,0
Aster sparsiflorus,Symphyotrichum dumosum,yes,yes,no,no,yes,yes,0
Symphyotrichum dumosum,Symphyotrichum dumosum,yes,yes,no,no,yes,yes,790
Symphyotrichum dumosum var. dodgei,Symphyotrichum dumosum,yes,yes,no,no,yes,yes,0
Symphyotrichum dumosum var. pergracilis,Symphyotrichum dumosum,yes,yes,no,no,yes,yes,0
Symphyotrichum dumosum var. strictior,Symphyotrichum dumosum,yes,yes,no,no,yes,yes,24
Symphyotrichum dumosum var. subulifolium,Symphyotrichum dumosum,yes,yes,no,no,yes,yes,35
Aster cordidifolius,Symphyotrichum dumosum var. dumosum,no,no,no,no,no,no,0
Aster dumosus var. cordidifolius,Symphyotrichum dumosum var. dumosum,no,no,no,no,no,no,0
Aster dumosus var. dumosus,Symphyotrichum dumosum var. dumosum,no,no,no,no,no,no,0
Symphyotrichum dumosum var. dumosum,Symphyotrichum dumosum var. dumosum,no,no,no,no,no,no,40
Aster acadiensis,Symphyotrichum lateriflorum,yes,yes,no,no,yes,yes,0
Aster agrostifolius,Symphyotrichum lateriflorum,yes,yes,no,no,yes,yes,0
Aster diffusus,Symphyotrichum lateriflorum,yes,yes,no,no,yes,yes,0
Aster diffusus forma hirsuticaulis,Symphyotrichum lateriflorum,yes,yes,no,no,yes,yes,0
Aster diffusus var. hirsuticaulis,Symphyotrichum lateriflorum,yes,yes,no,no,yes,yes,0
Aster diffusus var. horizontalis,Symphyotrichum lateriflorum,yes,yes,no,no,yes,yes,0
Aster diffusus var. variifolius,Symphyotrichum lateriflorum,yes,yes,no,no,yes,yes,0
Aster divergens,Symphyotrichum lateriflorum,yes,yes,no,no,yes,yes,0
Aster divergens var. diffusus,Symphyotrichum lateriflorum,yes,yes,no,no,yes,yes,0
Aster divergens var. pendulus,Symphyotrichum lateriflorum,yes,yes,no,no,yes,yes,0
Aster hirsuticaulis,Symphyotrichum lateriflorum,yes,yes,no,no,yes,yes,0
Aster horizontalis,Symphyotrichum lateriflorum,yes,yes,no,no,yes,yes,0
Aster lateriflorus,Symphyotrichum lateriflorum,yes,yes,no,no,yes,yes,220
Aster lateriflorus var. angustifolius,Symphyotrichum lateriflorum,yes,yes,no,no,yes,yes,2
Aster lateriflorus var. flagellaris,Symphyotrichum lateriflorum,yes,yes,no,no,yes,yes,0
Aster lateriflorus var. hirsuticaulis,Symphyotrichum lateriflorum,yes,yes,no,no,yes,yes,1
Aster lateriflorus var. horizontalis,Symphyotrichum lateriflorum,yes,yes,no,no,yes,yes,0
Aster lateriflorus var. indutus,Symphyotrichum lateriflorum,yes,yes,no,no,yes,yes,0
Aster lateriflorus var. pendulus,Symphyotrichum lateriflorum,yes,yes,no,no,yes,yes,0
Aster lateriflorus var. spatelliformis,Symphyotrichum lateriflorum,yes,yes,no,no,yes,yes,0
Aster lateriflorus var. tenuipes,Symphyotrichum lateriflorum,yes,yes,no,no,yes,yes,6
Aster miser var. diffusus,Symphyotrichum lateriflorum,yes,yes,no,no,yes,yes,0
Aster miser var. divergens,Symphyotrichum lateriflorum,yes,yes,no,no,yes,yes,0
Aster miser var. hirsuticaulis,Symphyotrichum lateriflorum,yes,yes,no,no,yes,yes,0
Aster miser var. pendulus,Symphyotrichum lateriflorum,yes,yes,no,no,yes,yes,0
Aster miser var. vimineus,Symphyotrichum lateriflorum,yes,yes,no,no,yes,yes,0
Aster pendulus,Symphyotrichum lateriflorum,yes,yes,no,no,yes,yes,0
Aster saxatilis,Symphyotrichum lateriflorum,yes,yes,no,no,yes,yes,0
Aster spatelliformis,Symphyotrichum lateriflorum,yes,yes,no,no,yes,yes,1
Aster tenuipes,Symphyotrichum lateriflorum,yes,yes,no,no,yes,yes,0
Aster tradescantii,Symphyotrichum lateriflorum,yes,yes,no,no,yes,yes,264
Aster tradescantii var. saxatilis,Symphyotrichum lateriflorum,yes,yes,no,no,yes,yes,0
Aster vimineus,Symphyotrichum lateriflorum,yes,yes,no,no,yes,yes,0
Aster vimineus var. saxatilis,Symphyotrichum lateriflorum,yes,yes,no,no,yes,yes,3
Solidago lateriflora,Symphyotrichum lateriflorum,yes,yes,no,no,yes,yes,0
Symphyotrichum lateriflorum,Symphyotrichum lateriflorum,yes,yes,no,no,yes,yes,2821
Symphyotrichum lateriflorum var. angustifolium,Symphyotrichum lateriflorum,yes,yes,no,no,yes,yes,4
Symphyotrichum lateriflorum var. flagellare,Symphyotrichum lateriflorum,yes,yes,no,no,yes,yes,0
Symphyotrichum lateriflorum var. hirsuticaule,Symphyotrichum lateriflorum,yes,yes,no,no,yes,yes,3
Symphyotrichum lateriflorum var. horizontale,Symphyotrichum lateriflorum,yes,yes,no,no,yes,yes,18
Symphyotrichum lateriflorum var. spatelliforme,Symphyotrichum lateriflorum,yes,yes,no,no,yes,yes,0
Symphyotrichum lateriflorum var. tenuipes,Symphyotrichum lateriflorum,yes,yes,no,no,yes,yes,2
Symphyotrichum tradescantii,Symphyotrichum lateriflorum,yes,yes,no,no,yes,yes,1421
Symphyotrichum novi-belgii,Symphyotrichum novi-belgii,yes,no,no,no,yes,yes,14393
Aster patulus,Symphyotrichum patulum,no,no,no,no,yes,yes,4
Symphyotrichum patulum,Symphyotrichum patulum,no,no,no,no,yes,yes,37
Aster versicolor,Symphyotrichum versicolor,yes,no,no,no,yes,yes,0
Symphyotrichum versicolor,Symphyotrichum versicolor,yes,no,no,no,yes,yes,887
Symphytum ibiricum,Symphytum ibiricum,no,no,no,no,no,no,5
Symphytum officinale,Symphytum officinale,yes,no,no,no,yes,yes,209629
Symphytum tauricum,Symphytum tauricum,no,no,no,no,yes,yes,73
Syzygium floribundum,Syzygium floribundum,yes,no,no,no,no,yes,892
Syzygium grande,Syzygium grande,yes,no,no,no,yes,no,75
Taeniatherum caput-medusae,Taeniatherum caput-medusae,yes,no,no,no,yes,yes,3044
Tagetes corymbosa,Tagetes erecta,yes,no,no,no,yes,yes,0
Tagetes erecta,Tagetes erecta,yes,yes,no,no,yes,yes,3760
Tagetes major,Tagetes erecta,yes,yes,no,no,yes,yes,0
Tagetes patula,Tagetes erecta,yes,yes,no,no,yes,yes,1419
Tagetes remotiflora,Tagetes erecta,yes,no,no,no,yes,yes,146
Tagetes signata,Tagetes erecta,yes,no,no,no,yes,yes,5
Tagetes tenuifolia,Tagetes erecta,yes,yes,no,no,yes,yes,936
Claytonia paniculata,Talinum paniculatum,yes,yes,no,no,yes,yes,0
Claytonia patens,Talinum paniculatum,yes,yes,no,no,yes,yes,0
Claytonia reflexa,Talinum paniculatum,yes,yes,no,no,yes,yes,0
Claytonia sarmentosa,Talinum paniculatum,yes,yes,no,no,yes,yes,426
Portulaca paniculata,Talinum paniculatum,yes,yes,no,no,yes,yes,1
Portulaca patens,Talinum paniculatum,yes,yes,no,no,yes,yes,2
Portulaca reflexa,Talinum paniculatum,yes,yes,no,no,yes,yes,0
Ruelingia patens,Talinum paniculatum,yes,yes,no,no,yes,yes,0
Talinum chrysanthum,Talinum paniculatum,yes,yes,no,no,yes,yes,12
Talinum dichotomum,Talinum paniculatum,yes,yes,no,no,yes,yes,0
Talinum fruticosum,Talinum paniculatum,yes,yes,no,no,yes,yes,1656
Talinum paniculatum,Talinum paniculatum,yes,yes,no,no,yes,yes,2326
Talinum paniculatum var. sarmentosum,Talinum paniculatum,yes,yes,no,no,yes,yes,0
Talinum patens,Talinum paniculatum,yes,yes,no,no,yes,yes,0
Talinum patens,Talinum paniculatum,yes,yes,no,no,yes,yes,0
Talinum patens var. sarmentosum,Talinum paniculatum,yes,yes,no,no,yes,yes,0
Talinum reflexum,Talinum paniculatum,yes,yes,no,no,yes,yes,1
Talinum reflexum forma sarmentosum,Talinum paniculatum,yes,yes,no,no,yes,yes,0
Talinum sarmentosum,Talinum paniculatum,yes,yes,no,no,yes,yes,0
Talinum spathulatum,Talinum paniculatum,yes,yes,no,no,yes,yes,0
Talipariti tiliaceum,Talipariti tiliaceum,yes,no,yes,no,yes,no,3570
Tamarix aphylla,Tamarix aphylla,yes,no,no,no,yes,yes,1890
Tamarix balansae var. micrantha,Tamarix canariensis,yes,yes,no,no,yes,yes,0
Tamarix brachystylis,Tamarix canariensis,yes,yes,no,no,yes,yes,1
Tamarix brachystylis var. geyrii,Tamarix canariensis,yes,yes,no,no,yes,yes,0
Tamarix brachystylis var. sanguinea,Tamarix canariensis,yes,yes,no,no,yes,yes,0
Tamarix canariensis,Tamarix canariensis,yes,yes,no,no,yes,yes,6690
Tamarix esperanzana,Tamarix canariensis,yes,yes,no,no,yes,yes,4
Tamarix gallica subsp. leucocharis,Tamarix canariensis,yes,yes,no,no,yes,yes,0
Tamarix gallica var. agrigentina,Tamarix canariensis,yes,yes,no,no,yes,yes,0
Tamarix gallica var. canariensis,Tamarix canariensis,yes,yes,no,no,yes,yes,0
Tamarix gallica var. lagunae,Tamarix canariensis,yes,yes,no,no,yes,yes,0
Tamarix gallica var. sardoa,Tamarix canariensis,yes,yes,no,no,yes,yes,0
Tamarix gallica var. submutica,Tamarix canariensis,yes,yes,no,no,yes,yes,0
Tamarix geyrii,Tamarix canariensis,yes,yes,no,no,yes,yes,0
Tamarix lagunae,Tamarix canariensis,yes,yes,no,no,yes,yes,1
Tamarix leucocharis,Tamarix canariensis,yes,yes,no,no,yes,yes,0
Tamarix riojana,Tamarix canariensis,yes,yes,no,no,yes,yes,1
Tamarix sireti,Tamarix canariensis,yes,yes,no,no,yes,yes,0
Tamarix weyleri,Tamarix canariensis,yes,yes,no,no,yes,yes,1
Tamarix chinensis,Tamarix chinensis,yes,no,no,no,yes,yes,877
Tamarix gallica,Tamarix gallica,yes,no,no,no,yes,yes,11044
Tamarix ramosissima,Tamarix ramosissima,yes,no,no,no,yes,yes,3488
Tanacetum balsamita,Tanacetum balsamita,yes,no,no,no,yes,yes,688
Chrysanthemum corymbosum,Tanacetum corymbosum,yes,no,no,no,yes,yes,324
Tanacetum corymbosum,Tanacetum corymbosum,yes,no,no,no,yes,yes,29887
Chrysanthemum macrophyllum,Tanacetum macrophyllum,yes,no,no,no,yes,yes,3
Tanacetum macrophyllum,Tanacetum macrophyllum,yes,no,no,no,yes,yes,712
Chrysanthemum millefoliatum,Tanacetum millefolium,no,no,no,no,yes,yes,1
Tanacetum millefolium,Tanacetum millefolium,no,no,no,no,yes,yes,111
Chrysanthemum praealtum,Tanacetum parthenium,yes,no,no,no,yes,yes,1
Tanacetum parthenium,Tanacetum parthenium,yes,no,no,no,yes,yes,35966
Tanacetum vulgare,Tanacetum vulgare,yes,no,no,no,yes,yes,226946
Taraxacum maderense,Taraxacum maderense,no,no,no,no,yes,no,53
Hedypnois taraxacum,Taraxacum officinale,yes,yes,no,no,yes,yes,0
