Mimosa arenosa
Mimosa casta
Mimosa ceratonia
Nephrolepis hirsutula
Opuntia triacantha
Paspalum densum
Paspalum millegrana
Plectranthus monostachyus
Potamogeton diversifolius
Pteris tripartita
Pterolepis glomerata
Ptychosperma elegans
Roldana petasitis
Ruellia macrophylla
Rytidostylis carthagenensis
Salvinia
Sambucus canadensis
Sanvitalia procumbens
Sargassum natans
Solanum wendlandii
Spartina patens
Spondias purpurea
Sporobolus pyramidatus
Talipariti tiliaceum
Tamarix gallica
Toxicodendron radicans
Tripsacum dactyloides
Tripsacum latifolium
Triumfetta bogotensis
Typha x glauca
Urochloa brizantha
Viguiera dentata
Achillea ptarmica
Agrostis hiemalis
Ajuga chamaepitis
Alopecurus borealis
Amelanchier spicata
Anchusa procera
Anchusa thessala
Anemone halleri
Aronia x prunifolia
Artemisia absinthium
Asperugo procumbens
Asperula laevigata
Aster salignus
Atriplex argentea
Austrodanthonia racemosa
Ballota rupestris
Bassia prostrata
Bassia tricuspis
Bifora testiculata
Blumenbachia insignis
Bombycilaena erecta
Bougainvillea rugosa
Bromus inermis
Bromus squarrosus
Bufonia paniculata
Buglossoides arvensis subsp. sibthorpiana
Bunium bulbocastanum
Bupleurum longifolium
Calotis lappulacea
Calystegia sepium
Cardamine parviflora
Carlina vulgaris
Caucalis platycarpos subsp. bischoffii
Centaurea cheiranthifolia
Centaurea debeauxii
Centaurea pannonica
Chamaesyce glomerifera
Cheiranthus canus
Chenopodium carinatum
Chenopodium polyspermum
Chloris pumilio
